1607672081.31, 422, 76, 1023, 997, 973, 65.0, 17.0
1607672683.94, 422, 72, 1023, 997, 970, 65.0, 17.0
1607673286.57, 421, 74, 1023, 996, 971, 65.0, 17.0
1607673889.15, 420, 77, 1023, 997, 970, 65.0, 17.0
1607674491.77, 422, 73, 1023, 997, 970, 65.0, 17.0
1607675094.39, 422, 76, 1023, 996, 970, 65.0, 17.0
1607675697.01, 425, 77, 1023, 998, 970, 65.0, 17.0
1607676299.64, 422, 78, 1023, 998, 972, 65.0, 17.0
1607676902.27, 422, 76, 1023, 997, 969, 65.0, 16.0
1607677504.9, 419, 84, 1023, 997, 968, 65.0, 16.0
1607678110.06, 420, 77, 1023, 998, 968, 65.0, 16.0
1607678712.67, 419, 74, 1023, 997, 968, 65.0, 16.0
1607679315.3, 422, 72, 1023, 996, 972, 66.0, 17.0
1607679917.93, 422, 75, 1023, 997, 967, 63.0, 17.0
1607680520.56, 421, 71, 1023, 997, 971, 64.0, 17.0
1607681123.19, 422, 88, 1023, 957, 952, 64.0, 17.0
1607681725.82, 420, 71, 1023, 997, 971, 64.0, 17.0
1607682328.35, 419, 70, 1023, 996, 970, 64.0, 17.0
1607682930.91, 423, 75, 1023, 995, 969, 65.0, 16.0
1607683533.47, 422, 76, 1023, 997, 969, 65.0, 16.0
1607684136.1, 425, 73, 1023, 997, 967, 65.0, 16.0
1607684738.73, 423, 74, 1023, 997, 968, 65.0, 16.0
1607685341.34, 420, 72, 1023, 997, 970, 65.0, 16.0
1607685943.97, 418, 82, 1023, 998, 970, 65.0, 16.0
1607686546.6, 421, 74, 1023, 997, 969, 62.0, 17.0
1607687149.23, 421, 72, 1023, 994, 966, 63.0, 17.0
1607687751.86, 420, 74, 1023, 978, 947, 63.0, 17.0
1607688354.49, 422, 72, 1023, 858, 837, 64.0, 17.0
1607688957.07, 421, 78, 1023, 628, 679, 64.0, 16.0
1607689559.7, 424, 76, 1023, 432, 511, 63.0, 17.0
1607690162.33, 427, 76, 1023, 310, 372, 61.0, 18.0
1607690764.96, 421, 75, 1023, 218, 247, 62.0, 18.0
1607691367.59, 421, 76, 1023, 170, 191, 62.0, 17.0
1607691970.22, 426, 77, 1023, 170, 193, 62.0, 18.0
1607692572.85, 425, 73, 1023, 137, 146, 61.0, 18.0
1607693175.4, 429, 78, 1023, 123, 128, 62.0, 18.0
1607693777.95, 424, 84, 1023, 105, 107, 61.0, 17.0
1607694380.58, 425, 79, 1023, 67, 64, 61.0, 18.0
1607694983.11, 425, 53, 1023, 57, 54, 61.0, 18.0
1607695585.68, 432, 77, 1023, 24, 50, 60.0, 18.0
1607696188.29, 426, 80, 1023, 46, 48, 60.0, 19.0
1607696790.83, 427, 78, 1023, 47, 44, 59.0, 19.0
